"","Direction","GSEA analysis: WITHEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"673","Down","GO:0034329 cell junction assembly "," http://amigo.geneontology.org/amigo/term/GO:0034329","-0.8774","5","1.0e+00"
"792","","GO:0043631 RNA polyadenylation "," http://amigo.geneontology.org/amigo/term/GO:0043631","-0.8418","12","1.0e+00"
"674","","GO:0034330 cell junction organization "," http://amigo.geneontology.org/amigo/term/GO:0034330","-0.838","7","1.0e+00"
"655","","GO:0033044 regulation of chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0033044","-0.81","8","1.0e+00"
"701","","GO:0035195 miRNA-mediated gene silencing "," http://amigo.geneontology.org/amigo/term/GO:0035195","-0.7996","6","1.0e+00"
"235","","GO:0006865 amino acid transport "," http://amigo.geneontology.org/amigo/term/GO:0006865","-0.7977","8","1.0e+00"
"689","Up","GO:0034728 nucleosome organization "," http://amigo.geneontology.org/amigo/term/GO:0034728","0.8601","6","1.0e+00"
"442","","GO:0010921 regulation of phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0010921","0.8528","6","1.0e+00"
"796","","GO:0043666 regulation of phosphoprotein phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0043666","0.8528","6","1.0e+00"
"18","","GO:0000271 polysaccharide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0000271","0.8406","7","1.0e+00"
"62","","GO:0005978 glycogen biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0005978","0.8406","7","1.0e+00"
"386","","GO:0009250 glucan biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0009250","0.8406","7","1.0e+00"
"661","","GO:0033692 cellular polysaccharide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0033692","0.8406","7","1.0e+00"
"705","","GO:0035303 regulation of dephosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0035303","0.8351","8","1.0e+00"
"706","","GO:0035304 regulation of protein dephosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0035304","0.8351","8","1.0e+00"
"683","","GO:0034637 cellular carbohydrate biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0034637","0.8301","8","1.0e+00"
"617","","GO:0032008 positive regulation of TOR signaling "," http://amigo.geneontology.org/amigo/term/GO:0032008","0.823","7","1.0e+00"
"993","","GO:0051648 vesicle localization "," http://amigo.geneontology.org/amigo/term/GO:0051648","0.8185","7","1.0e+00"
"995","","GO:0051650 establishment of vesicle localization "," http://amigo.geneontology.org/amigo/term/GO:0051650","0.8185","7","1.0e+00"
"123","","GO:0006368 transcription elongation from RNA polymerase II promoter "," http://amigo.geneontology.org/amigo/term/GO:0006368","0.8077","11","1.0e+00"
