"","Direction","GSEA analysis: WITHEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"113","Down","GO:0017119 Golgi transport complex "," http://amigo.geneontology.org/amigo/term/GO:0017119","-0.8722","5","1.0e+00"
"180","","GO:0031985 Golgi cisterna "," http://amigo.geneontology.org/amigo/term/GO:0031985","-0.8629","7","1.0e+00"
"183","","GO:0032580 Golgi cisterna membrane "," http://amigo.geneontology.org/amigo/term/GO:0032580","-0.8629","7","1.0e+00"
"60","","GO:0005795 Golgi stack "," http://amigo.geneontology.org/amigo/term/GO:0005795","-0.8485","8","1.0e+00"
"13","","GO:0000407 phagophore assembly site "," http://amigo.geneontology.org/amigo/term/GO:0000407","-0.8294","6","1.0e+00"
"204","","GO:0042555 MCM complex "," http://amigo.geneontology.org/amigo/term/GO:0042555","-0.7629","7","1.0e+00"
"17","","GO:0000786 nucleosome "," http://amigo.geneontology.org/amigo/term/GO:0000786","-0.7475","7","1.0e+00"
"119","","GO:0022625 cytosolic large ribosomal subunit "," http://amigo.geneontology.org/amigo/term/GO:0022625","-0.7088","5","1.0e+00"
"157","","GO:0031011 Ino80 complex "," http://amigo.geneontology.org/amigo/term/GO:0031011","-0.6477","6","1.0e+00"
"152","","GO:0030867 rough endoplasmic reticulum membrane "," http://amigo.geneontology.org/amigo/term/GO:0030867","-0.6428","5","1.0e+00"
"110","Up","GO:0016593 Cdc73/Paf1 complex "," http://amigo.geneontology.org/amigo/term/GO:0016593","0.9044","5","1.0e+00"
"1","","GO:0000118 histone deacetylase complex "," http://amigo.geneontology.org/amigo/term/GO:0000118","0.7941","8","1.0e+00"
"87","","GO:0008023 transcription elongation factor complex "," http://amigo.geneontology.org/amigo/term/GO:0008023","0.7935","10","1.0e+00"
"189","","GO:0033179 proton-transporting V-type ATPase V0 domain "," http://amigo.geneontology.org/amigo/term/GO:0033179","0.709","9","1.0e+00"
"62","","GO:0005802 trans-Golgi network "," http://amigo.geneontology.org/amigo/term/GO:0005802","0.6998","5","1.0e+00"
"5","","GO:0000145 exocyst "," http://amigo.geneontology.org/amigo/term/GO:0000145","0.6869","8","1.0e+00"
"72","","GO:0005861 troponin complex "," http://amigo.geneontology.org/amigo/term/GO:0005861","0.6794","7","1.0e+00"
"73","","GO:0005865 striated muscle thin filament "," http://amigo.geneontology.org/amigo/term/GO:0005865","0.6794","7","1.0e+00"
"199","","GO:0036379 myofilament "," http://amigo.geneontology.org/amigo/term/GO:0036379","0.6794","7","1.0e+00"
"182","","GO:0032040 small-subunit processome "," http://amigo.geneontology.org/amigo/term/GO:0032040","0.6739","10","1.0e+00"
