"","Direction","GSEA analysis: WITHEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"28","Down","Path:tut00510 N-Glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00510 ","-0.779","22","1.4e-01"
"30","","Path:tut00513 Various types of N-glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00513 ","-0.8131","17","1.5e-01"
"5","","Path:tut00051 Fructose and mannose metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00051 ","-0.6431","16","1.0e+00"
"31","","Path:tut00514 Other types of O-glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00514 ","-0.5953","10","1.0e+00"
"83","","Path:tut03430 Mismatch repair-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut03430 ","-0.5864","12","1.0e+00"
"22","Up","Path:tut00360 Phenylalanine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00360 ","0.7778","6","1.0e+00"
"20","","Path:tut00330 Arginine and proline metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00330 ","0.6697","21","1.0e+00"
"21","","Path:tut00350 Tyrosine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00350 ","0.6431","11","1.0e+00"
"47","","Path:tut00670 One carbon pool by folate-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00670 ","0.6317","7","1.0e+00"
"57","","Path:tut00982 Drug metabolism-cytochrome P450-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00982 ","0.6109","21","1.0e+00"
"34","","Path:tut00531 Glycosaminoglycan degradation-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00531 ","0.6047","5","1.0e+00"
"58","","Path:tut00983 Drug metabolism-other enzymes-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00983 ","0.5969","32","1.0e+00"
"68","","Path:tut02010 ABC transporters-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut02010 ","0.5965","35","1.0e+00"
"56","","Path:tut00980 Metabolism of xenobiotics by cytochrome P450-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00980 ","0.5944","22","1.0e+00"
"29","","Path:tut00511 Other glycan degradation-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00511 ","0.5941","24","1.0e+00"
"62","","Path:tut01210 2-Oxocarboxylic acid metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut01210 ","0.5936","9","1.0e+00"
"26","","Path:tut00480 Glutathione metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00480 ","0.5929","32","1.0e+00"
"7","","Path:tut00061 Fatty acid biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00061 ","0.5845","9","1.0e+00"
"64","","Path:tut01230 Biosynthesis of amino acids-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut01230 ","0.5795","36","1.0e+00"
"23","","Path:tut00380 Tryptophan metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00380 ","0.5582","16","1.0e+00"
