"","Direction","GSEA analysis: WITHOUTEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"673","Down","GO:0034329 cell junction assembly "," http://amigo.geneontology.org/amigo/term/GO:0034329","-0.9153","5","1.0e+00"
"674","","GO:0034330 cell junction organization "," http://amigo.geneontology.org/amigo/term/GO:0034330","-0.8377","7","1.0e+00"
"792","","GO:0043631 RNA polyadenylation "," http://amigo.geneontology.org/amigo/term/GO:0043631","-0.8182","12","1.0e+00"
"617","Up","GO:0032008 positive regulation of TOR signaling "," http://amigo.geneontology.org/amigo/term/GO:0032008","0.92","7","1.0e+00"
"627","","GO:0032309 icosanoid secretion "," http://amigo.geneontology.org/amigo/term/GO:0032309","0.8579","5","1.0e+00"
"928","","GO:0050482 arachidonic acid secretion "," http://amigo.geneontology.org/amigo/term/GO:0050482","0.8579","5","1.0e+00"
"1064","","GO:0071715 icosanoid transport "," http://amigo.geneontology.org/amigo/term/GO:0071715","0.8579","5","1.0e+00"
"1216","","GO:1903963 arachidonate transport "," http://amigo.geneontology.org/amigo/term/GO:1903963","0.8579","5","1.0e+00"
"458","","GO:0015908 fatty acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015908","0.849","6","1.0e+00"
"459","","GO:0015909 long-chain fatty acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015909","0.849","6","1.0e+00"
"18","","GO:0000271 polysaccharide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0000271","0.8403","7","1.0e+00"
"62","","GO:0005978 glycogen biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0005978","0.8403","7","1.0e+00"
"386","","GO:0009250 glucan biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0009250","0.8403","7","1.0e+00"
"661","","GO:0033692 cellular polysaccharide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0033692","0.8403","7","1.0e+00"
"1123","","GO:0098876 vesicle-mediated transport to the plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0098876","0.8254","7","1.0e+00"
"442","","GO:0010921 regulation of phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0010921","0.8247","6","1.0e+00"
"796","","GO:0043666 regulation of phosphoprotein phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0043666","0.8247","6","1.0e+00"
"683","","GO:0034637 cellular carbohydrate biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0034637","0.8155","8","1.0e+00"
"455","","GO:0015718 monocarboxylic acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015718","0.8141","7","1.0e+00"
"595","","GO:0031145 anaphase-promoting complex-dependent catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031145","0.8126","5","1.0e+00"
