"","Direction","GSEA analysis: WITHOUTEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"204","Down","GO:0042555 MCM complex "," http://amigo.geneontology.org/amigo/term/GO:0042555","-0.8771","7","1.0e+00"
"180","","GO:0031985 Golgi cisterna "," http://amigo.geneontology.org/amigo/term/GO:0031985","-0.8515","7","1.0e+00"
"183","","GO:0032580 Golgi cisterna membrane "," http://amigo.geneontology.org/amigo/term/GO:0032580","-0.8515","7","1.0e+00"
"60","","GO:0005795 Golgi stack "," http://amigo.geneontology.org/amigo/term/GO:0005795","-0.8496","8","1.0e+00"
"113","","GO:0017119 Golgi transport complex "," http://amigo.geneontology.org/amigo/term/GO:0017119","-0.8376","5","1.0e+00"
"119","","GO:0022625 cytosolic large ribosomal subunit "," http://amigo.geneontology.org/amigo/term/GO:0022625","-0.7202","5","1.0e+00"
"17","","GO:0000786 nucleosome "," http://amigo.geneontology.org/amigo/term/GO:0000786","-0.7185","7","1.0e+00"
"120","","GO:0022626 cytosolic ribosome "," http://amigo.geneontology.org/amigo/term/GO:0022626","-0.71","7","1.0e+00"
"13","","GO:0000407 phagophore assembly site "," http://amigo.geneontology.org/amigo/term/GO:0000407","-0.6654","6","1.0e+00"
"72","","GO:0005861 troponin complex "," http://amigo.geneontology.org/amigo/term/GO:0005861","-0.6649","7","1.0e+00"
"73","","GO:0005865 striated muscle thin filament "," http://amigo.geneontology.org/amigo/term/GO:0005865","-0.6649","7","1.0e+00"
"199","","GO:0036379 myofilament "," http://amigo.geneontology.org/amigo/term/GO:0036379","-0.6649","7","1.0e+00"
"257","","GO:0098791 Golgi apparatus subcompartment "," http://amigo.geneontology.org/amigo/term/GO:0098791","-0.6587","13","1.0e+00"
"110","Up","GO:0016593 Cdc73/Paf1 complex "," http://amigo.geneontology.org/amigo/term/GO:0016593","0.8803","5","1.0e+00"
"1","","GO:0000118 histone deacetylase complex "," http://amigo.geneontology.org/amigo/term/GO:0000118","0.7846","8","1.0e+00"
"189","","GO:0033179 proton-transporting V-type ATPase V0 domain "," http://amigo.geneontology.org/amigo/term/GO:0033179","0.7496","9","1.0e+00"
"5","","GO:0000145 exocyst "," http://amigo.geneontology.org/amigo/term/GO:0000145","0.7223","8","1.0e+00"
"87","","GO:0008023 transcription elongation factor complex "," http://amigo.geneontology.org/amigo/term/GO:0008023","0.7168","10","1.0e+00"
"182","","GO:0032040 small-subunit processome "," http://amigo.geneontology.org/amigo/term/GO:0032040","0.7039","10","1.0e+00"
"85","","GO:0005938 cell cortex "," http://amigo.geneontology.org/amigo/term/GO:0005938","0.6826","10","1.0e+00"
