"","Direction","GSEA analysis: WITHOUTEXPOSURE vs REFERENCE Pathways","URL","NES","Genes","adj.Pval"
"30","Down","Path:tut00513 Various types of N-glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00513 ","-0.783","17","5.3e-01"
"28","","Path:tut00510 N-Glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00510 ","-0.7109","22","5.4e-01"
"12","","Path:tut00220 Arginine biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00220 ","-0.6328","6","1.0e+00"
"31","","Path:tut00514 Other types of O-glycan biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00514 ","-0.621","10","1.0e+00"
"45","","Path:tut00640 Propanoate metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00640 ","-0.6109","12","1.0e+00"
"46","","Path:tut00650 Butanoate metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00650 ","-0.5682","12","1.0e+00"
"5","","Path:tut00051 Fructose and mannose metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00051 ","-0.5556","16","1.0e+00"
"16","","Path:tut00260 Glycine serine and threonine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00260 ","-0.5307","15","1.0e+00"
"21","Up","Path:tut00350 Tyrosine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00350 ","0.7142","11","1.0e+00"
"34","","Path:tut00531 Glycosaminoglycan degradation-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00531 ","0.6893","5","1.0e+00"
"47","","Path:tut00670 One carbon pool by folate-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00670 ","0.6849","7","1.0e+00"
"22","","Path:tut00360 Phenylalanine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00360 ","0.6616","6","1.0e+00"
"29","","Path:tut00511 Other glycan degradation-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00511 ","0.6453","24","1.0e+00"
"40","","Path:tut00565 Ether lipid metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00565 ","0.5999","11","1.0e+00"
"42","","Path:tut00600 Sphingolipid metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00600 ","0.5915","35","1.0e+00"
"92","","Path:tut04137 Mitophagy-animal-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut04137 ","0.5644","21","1.0e+00"
"48","","Path:tut00740 Riboflavin metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00740 ","0.5532","7","1.0e+00"
"74","","Path:tut03020 RNA polymerase-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut03020 ","0.5473","14","1.0e+00"
"41","","Path:tut00590 Arachidonic acid metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00590 ","0.5454","5","1.0e+00"
"68","","Path:tut02010 ABC transporters-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut02010 ","0.5393","35","1.0e+00"
