"","group","FDR","nGenes","Pathway size","Fold enriched","Pathway","URL","Genes"
"1","Upregulated","2.16e-04",18,140,3.70097087378641,"Monooxygenase activity "," http://amigo.geneontology.org/amigo/term/GO:0004497","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR21G01170, TETUR27G00350"
"2","Upregulated","2.16e-04",17,101,3.83637224721762,"UDP-glycosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0008194","TETUR01G05700, TETUR01G11870, TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR05G05710, TETUR06G02430, TETUR07G06390, TETUR07G06430, TETUR08G00190, TETUR08G03000, TETUR11G01830, TETUR16G02300, TETUR21G01400, TETUR22G00310, TETUR22G00330"
"3","Upregulated","3.01e-04",19,164,3.34849745723532,"Iron ion binding "," http://amigo.geneontology.org/amigo/term/GO:0005506","TETUR01G00490, TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G05930, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR27G00350"
"4","Upregulated","5.70e-04",50,661,1.86540870654557,"Oxidoreductase activity "," http://amigo.geneontology.org/amigo/term/GO:0016491","TETUR01G00490, TETUR01G02320, TETUR01G07290, TETUR01G11270, TETUR01G16503, TETUR02G10240, TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR04G01130, TETUR04G02370, TETUR04G05460, TETUR05G01450, TETUR05G04340, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR06G04900, TETUR06G04970, TETUR06G04990, TETUR06G05080, TETUR06G05090, TETUR06G05100, TETUR07G01870, TETUR07G05260, TETUR07G05930, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR09G05960, TETUR10G03550, TETUR11G05000, TETUR12G00600, TETUR12G00620, TETUR13G02300, TETUR13G04440, TETUR15G00270, TETUR15G00300, TETUR18G03390, TETUR20G03200, TETUR21G01170, TETUR24G01210, TETUR26G02520, TETUR27G00350, TETUR28G02490"
"5","Upregulated","5.70e-04",19,169,3.13921636615811,"Oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen "," http://amigo.geneontology.org/amigo/term/GO:0016705","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR21G01170, TETUR24G01210, TETUR27G00350"
"6","Upregulated","1.04e-03",17,147,3.14582524271845,"Heme binding "," http://amigo.geneontology.org/amigo/term/GO:0020037","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR27G00350"
"7","Upregulated","1.04e-03",17,147,3.14582524271845,"Tetrapyrrole binding "," http://amigo.geneontology.org/amigo/term/GO:0046906","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR27G00350"
"8","Upregulated","1.73e-03",19,163,2.7904145476961,"Hexosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0016758","TETUR01G05700, TETUR01G11870, TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR05G05710, TETUR06G02430, TETUR07G06390, TETUR07G06430, TETUR08G00190, TETUR08G03000, TETUR09G02120, TETUR11G01830, TETUR14G01130, TETUR16G02300, TETUR21G01400, TETUR22G00310, TETUR22G00330"
"9","Upregulated","3.05e-02",20,211,2.17704169046259,"Glycosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0016757","TETUR01G05700, TETUR01G11870, TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR05G05710, TETUR06G02430, TETUR07G06390, TETUR07G06430, TETUR08G00190, TETUR08G03000, TETUR09G02120, TETUR11G01830, TETUR14G01130, TETUR16G02300, TETUR21G01400, TETUR22G00310, TETUR22G00330, TETUR26G02540"
"10","Upregulated","8.02e-02",2,3,18.504854368932,"Iron ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0005381","TETUR03G01360, TETUR07G03010"
