"","group","FDR","nGenes","Pathway size","Fold enriched","Pathway","URL","Genes"
"1","Upregulated","5.78e-05",19,140,3.82004219409283,"Monooxygenase activity "," http://amigo.geneontology.org/amigo/term/GO:0004497","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR21G01170"
"2","Upregulated","5.78e-05",18,101,3.9720592775548,"UDP-glycosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0008194","TETUR01G03820, TETUR01G05700, TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR05G05710, TETUR07G06390, TETUR07G06430, TETUR08G00190, TETUR08G03000, TETUR11G01830, TETUR16G02300, TETUR19G00440, TETUR21G01400, TETUR22G00310, TETUR22G00330, TETUR36G01060"
"3","Upregulated","9.74e-05",20,164,3.44665461121157,"Iron ion binding "," http://amigo.geneontology.org/amigo/term/GO:0005506","TETUR01G00490, TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G05930, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200"
"4","Upregulated","2.12e-04",20,169,3.23123869801085,"Oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen "," http://amigo.geneontology.org/amigo/term/GO:0016705","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200, TETUR21G01170, TETUR24G01210"
"5","Upregulated","3.47e-04",8,36,7.2379746835443,"Glucosylceramidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004348","TETUR02G07250, TETUR02G07780, TETUR05G06960, TETUR06G01580, TETUR06G01590, TETUR147G00020, TETUR17G00870, TETUR187G00020"
"6","Upregulated","3.47e-04",18,147,3.25708860759494,"Heme binding "," http://amigo.geneontology.org/amigo/term/GO:0020037","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200"
"7","Upregulated","3.47e-04",18,147,3.25708860759494,"Tetrapyrrole binding "," http://amigo.geneontology.org/amigo/term/GO:0046906","TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR11G05000, TETUR20G03200"
"8","Upregulated","6.77e-04",20,163,2.87221217600964,"Hexosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0016758","TETUR01G03820, TETUR01G05700, TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR05G05710, TETUR07G06390, TETUR07G06430, TETUR08G00190, TETUR08G03000, TETUR09G02120, TETUR11G01830, TETUR14G01130, TETUR16G02300, TETUR19G00440, TETUR21G01400, TETUR22G00310, TETUR22G00330, TETUR36G01060"
"9","Upregulated","2.59e-03",48,661,1.75112290730911,"Oxidoreductase activity "," http://amigo.geneontology.org/amigo/term/GO:0016491","TETUR01G00490, TETUR01G07290, TETUR01G11270, TETUR01G14770, TETUR01G16503, TETUR02G07150, TETUR02G14020, TETUR03G00800, TETUR03G00830, TETUR03G00970, TETUR03G04990, TETUR03G05020, TETUR03G05070, TETUR03G05190, TETUR04G01130, TETUR04G02370, TETUR04G05460, TETUR05G01450, TETUR05G04000, TETUR06G02400, TETUR06G02650, TETUR06G04520, TETUR06G04900, TETUR06G04970, TETUR06G04990, TETUR06G05080, TETUR06G05090, TETUR06G05100, TETUR07G01870, TETUR07G05260, TETUR07G05930, TETUR07G06410, TETUR07G06460, TETUR07G06480, TETUR08G06170, TETUR09G05960, TETUR11G05000, TETUR12G00570, TETUR12G00600, TETUR12G00620, TETUR13G02300, TETUR13G04440, TETUR15G00300, TETUR18G03390, TETUR20G03200, TETUR21G01170, TETUR24G01210, TETUR26G01750"
"10","Upregulated","3.13e-03",6,21,7.2379746835443,"Pigment binding "," http://amigo.geneontology.org/amigo/term/GO:0031409","TETUR01G05730, TETUR01G05740, TETUR04G06010, TETUR24G01030, TETUR31G00680, TETUR31G00710"
