"symbol","ensembl_ID","User_ID","WITHEXPOSURE-REFERENCE_log2FC","WITHEXPOSURE-REFERENCE_adjPval","WITHEXPOSURE-WITHOUTEXPOSURE_log2FC","WITHEXPOSURE-WITHOUTEXPOSURE_adjPval","WITHOUTEXPOSURE-REFERENCE_log2FC","WITHOUTEXPOSURE-REFERENCE_adjPval","Processed data:","Ref_R1_SRR23919708","Ref_R2_SRR23919707","Ref_R3_SRR23919704","Ref_R4_SRR23919703","WE_R1_SRR23919698","WE_R2_SRR23919697","WE_R3_SRR23919706","WE_R4_SRR23919705","WOE_R1_SRR23919702","WOE_R2_SRR23919701","WOE_R3_SRR23919700","WOE_R4_SRR23919699"
"  TETUR39G00810","TETUR39G00810","TETUR39G00810",0.200585599956936,0.46928107598894,-0.0396756990480922,0.945340185789836,0.240261299005028,0.378264917969495,"",19.2130378497405,19.4800501483748,19.2981538979822,19.4736954422446,19.1748802749081,19.310000784984,19.6794830702741,19.8048449591011,19.6950942158401,19.6748413966806,19.1656637499922,19.5921199580384
"  TETUR03G09300","TETUR03G09300","TETUR03G09300",-0.287418475538822,0.0143531560943761,0.266326179010412,0.0937636533973574,-0.553744654549234,5.35380998297997e-07,"",19.8563722395147,20.0735070859477,19.9759221981845,20.1501758068917,19.7553095411564,19.7400217535634,19.7658123190842,19.9425157273497,19.6230275358582,19.6439764885981,19.3909407428119,19.7417104909973
"  TETUR18G03030","TETUR18G03030","TETUR18G03030",-0.158746315070981,0.178761684853905,0.15601777892749,0.361438652449079,-0.314764093998472,0.0039324631173865,"",19.1068722601871,19.3610685002585,19.2049882564607,19.3486651896144,19.0418908884643,19.1003691999785,19.1358849554597,19.2751873662092,19.0504308141184,19.0178611159772,18.8572580433913,19.1580147640856
"  TETUR03G00970","TETUR03G00970","TETUR03G00970",7.68912058339478,0,0.137355574552348,0.238408908308728,7.55176500884243,0,"",11.1402162931158,11.160773710879,11.050092125034,11.1702264993746,15.9206424385629,16.0020068479515,16.1040683458538,16.0163086450452,15.9361686880761,15.9360035820439,15.816638720102,15.917837947511
"T1K489","T1K489","T1K489",-0.0640238524706133,0.730287125095314,-0.174455166525625,0.481934212482049,0.110431314055012,0.533203915770135,"",17.2860513496502,17.5503672227116,17.3974762108437,17.4222950018495,17.0697260322188,17.4874270659346,17.4305311307883,17.4470966422253,17.1727897351201,17.5193041225911,17.6366991220259,17.6150064627802
"  TETUR28G01760","TETUR28G01760","TETUR28G01760",1.12913541829952,5.87117784968133e-26,-0.257127861906642,0.113642000848985,1.38626328020616,8.35399546262921e-39,"",14.8461488139666,15.1326710052744,15.0851311709705,15.1265840693371,15.6862863108282,15.8793073585491,15.9693629479372,15.9616554728295,15.9069870238762,16.1513997828636,16.0897557190566,16.1318666645321
"  TETUR01G05480","TETUR01G05480","TETUR01G05480",0.959869387043247,4.65673139385915e-14,-0.150478104053336,0.511206495238679,1.11034749109658,1.53535965160236e-18,"",14.7989156922829,15.0270813589192,15.0018492869301,15.0204479605835,15.3839085374836,15.7735905824897,15.7348638149838,15.7467411360166,15.5359890808668,15.7652981575092,15.8754718282908,15.9206690190609
"  TETUR09G06670","TETUR09G06670","TETUR09G06670",-0.0235751132809383,0.861042552762953,-0.854027079010525,1.14561721446062e-17,0.830451965729587,1.25837220174194e-18,"",14.9989242680295,14.9771177380624,15.1978679153202,15.2274133515495,14.9779917940401,15.1411777755331,15.0562493434049,15.1693547035728,15.7226124904395,15.7850660753185,15.7601050775848,15.5960785816247
"T1K9M5","T1K9M5","T1K9M5",1.32995808323907,3.16327292230123e-29,0.167944419990102,0.417786213599472,1.16201366324896,1.73356280847291e-22,"",14.2739514472872,14.2851458652565,14.0981350688794,14.1732500099552,15.0554893597781,15.0020004317113,15.3168780883939,15.3296519696272,15.2123707144658,15.0808012960758,14.8228246586931,15.0857663545868
"  TETUR14G02090","TETUR14G02090","TETUR14G02090",-0.226240898422919,0.129442685533334,-0.0474237777837519,0.874766793436067,-0.178817120639167,0.243694717793993,"",16.3157410092232,16.3928663444819,16.5067727855369,16.4317718335355,16.0030008470253,16.3682057096702,16.2991250243874,16.2794100655742,15.9741452587217,16.2394539448216,16.442236753376,16.4092233396105
