"","group","FDR","nGenes","Pathway size","Fold enriched","Pathway","URL","Genes"
"1","Upregulated","1.81e-05",8,26,9.46608946608947,"Metabolism of xenobiotics by cytochrome P450-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00980 ","TETUR05G05240, TETUR05G04340, TETUR05G05260, TETUR05G05300, TETUR01G02480, TETUR26G01450, TETUR29G00220, TETUR31G01330"
"2","Upregulated","1.81e-05",8,25,9.91685563114135,"Drug metabolism-cytochrome P450-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00982 ","TETUR05G05240, TETUR05G04340, TETUR05G05260, TETUR05G05300, TETUR01G02480, TETUR26G01450, TETUR29G00220, TETUR31G01330"
"3","Upregulated","2.19e-04",8,36,6.50793650793651,"Glutathione metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00480 ","TETUR05G05240, TETUR05G05260, TETUR05G05300, TETUR01G02480, TETUR26G01450, TETUR29G00220, TETUR31G01330, TETUR01G02230"
"4","Upregulated","2.19e-04",8,42,6.50793650793651,"Drug metabolism-other enzymes-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00983 ","TETUR05G05240, TETUR05G05260, TETUR05G05300, TETUR01G02480, TETUR26G01450, TETUR29G00220, TETUR31G01330, TETUR01G02230"
"5","Upregulated","2.79e-03",15,179,2.67449445531637,"Lysosome-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut04142 ","TETUR06G01580, TETUR06G01590, TETUR06G00310, TETUR08G06410, TETUR10G02360, TETUR11G02480, TETUR13G04220, TETUR13G02310, TETUR16G03680, TETUR17G03530, TETUR18G01260, TETUR32G01380, TETUR147G00020, TETUR02G07250, TETUR03G08010"
"6","Upregulated","4.04e-02",2,5,17.3544973544974,"Histidine metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00340 ","TETUR01G00420, TETUR28G02490"
"7","Upregulated","7.73e-02",5,40,3.718820861678,"Sphingolipid metabolism-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00600 ","TETUR06G01580, TETUR06G01590, TETUR13G04220, TETUR147G00020, TETUR02G07250"
"8","Upregulated","8.40e-02",4,29,4.33862433862434,"Other glycan degradation-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00511 ","TETUR06G01580, TETUR06G01590, TETUR13G04220, TETUR147G00020"
"9","Downregulated","7.54e-05",13,179,4.29492344883159,"Lysosome-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut04142 ","TETUR01G08690, TETUR04G00790, TETUR06G01700, TETUR06G02930, TETUR09G00570, TETUR09G00600, TETUR01G05670, TETUR17G03550, TETUR19G00060, TETUR21G01600, TETUR26G00920, TETUR02G04310, TETUR03G07950"
"10","Downregulated","4.06e-02",3,19,10.3361344537815,"Steroid biosynthesis-Tetranychus urticae (two-spotted spider mite)","http://www.genome.jp/kegg-bin/show_pathway?tut00100 ","TETUR19G00060, TETUR21G01600, TETUR26G00920"
